kljuc;naziv
5;MJESTA I NOSITELJI TROŠKOVA - U PROIZVODNO-USLUŽNIM DJELATNOSTIMA
50;GLAVNA MJESTA U PROIZVODNJI
500;Pogon I
5001;Izravni troškovi materijala (u računovodstvu troškovima razrada po radnim nalozima ili po procesima u proizvodnji)
5002;Izravni troškovi rada
5003;Opći fiksni troškovi proizvodnje (Razrada: amortizacija, održavanje, poslovodstvo pogona, drugi fiksni troškovi pogona)
5004;Opći varijabilni troškovi proizvodnje (Razrada: neizravni troškovi materijala u proizvodnji, energija utrošena u proizvodnju, neizravni troškovi plaća u proizvodnji, drugi varijabilni troškovi pogona)
501;Pogon II - Ista razrada za svaki daljnji pogon kao za pogon I.
502;Pogon III...
505;Izravni troškovi proizvoda (usluge) - radni nalog (obuhvat ili analitika kao i kod konta 500)
51;ODRŽAVANJE
510;Radionica "A"
5100;Izravni troškovi materijala i pričuvnih dijelova (po radnom nalogu, jedinici usluge i slično)
5101;Izravni troškovi rada
5102;Opći fiksni troškovi radionice
5103;Opći varijabilni troškovi radionice
5104;Drugi opći troškovi radionice
511;Radionica "B" (Izrada kao i kod radionice "A")
512;Itd.
52;TRANSPORT
520;Jedinica za prijevoz
5200;Izravni troškovi pogonskog goriva (razrada po vozilu)
5201;Izravni troškovi materijala (razrada po vozilu)
5202;Izravni troškovi plaća (razrada po vozilu)
5203;Opći fiksni troškovi jedinice za osobni prijevoz
5204;Opći varijabilni troškovi jedinice za osobni prijevoz
521;Jedinica teretni prijevoz
5210;Izravni troškovi pogonskog goriva (razrada po vozilu)
5211;Izravni troškovi materijala (razrada po vozilu)
5212;Izravni troškovi plaća (razrada po vozilu)
5213;Opći fiksni troškovi jedinice teretni prijevoz
5214;Opći varijabilni troškovi jedinice teretni prijevoz
522;Druge jedinice prijevoza (Razrada analogno za prethodne jedinice.)
53;TROŠKOVI UPRAVE I ADMINISTRACIJE
530;Materijal u troškovima uprave i administracije
531;Plaće, troškovi uprave i administracije
532;Amortizacija u troškovima prodaje
535;Drugi troškovi uprave i administracije (razrada prema potrebama društva, na primjer: dnevnice, bankovni troškovi, osiguranje, reprezentacija itd.)
54;TROŠKOVI PRODAJE
540;Materijal u troškovima prodaje
541;Plaće u troškovima prodaje
542;Amortizacija u troškovima prodaje
543;Zakupnine prodajnih prostora
545;Drugi troškovi prodaje (razrada npr. troškovi opreme prodanih proizvoda, troškovi fakturiranja, troškovi propagande i slično)
